feature_1,feature_2,feature_3
36.632266854807305,21.11433987379447,36.97636384340205
29.540782361499303,32.31355810479554,31.891009291896257
39.794106655773966,33.492780527599606,36.5636060298026
51.28413099251601,39.75280824183373,48.27905763969099
29.458813171497553,17.38481790435082,56.019463031063154
30.16713357150315,42.356586247920646,47.11383592276941
52.96453310031319,1.2889177111653645,41.76522663189249
42.70345888234041,26.75151568006661,58.816068322341025
27.51725956847076,28.97397861744576,36.052618836427875
40.048104368906486,42.38070363161313,52.9278332176732
26.618954169764102,34.55504589986674,36.33070292566066
26.232886423686598,16.545792212478172,44.910983010240614
34.620019687512674,21.335997256446177,37.17135944455446
7.331130597711185,35.855711814242795,37.512582801651924
9.710885834415015,31.91680015211336,33.45471162131269
23.724638832117968,25.005303618785046,54.464976485234295
17.83052080260797,26.648083121977454,28.070208308362588
33.77829935589722,40.87924993208632,28.15534804589665
19.10844253684245,25.614101733945787,63.57016128315475
12.672709192076596,31.336081498094497,50.06126657755054
48.99866864943122,59.60523218199304,8.601146131790308
28.472453726151798,15.288456918805037,31.44250650739342
32.9234402777505,10.978059687468717,16.54966583175141
14.338488161577072,43.798814432046996,27.542027471181378
25.28734669890683,26.025544787413263,1.0
34.65502717290062,31.159985805299442,39.14816772044528
20.097602871923897,26.21080084200522,26.95142033273958
39.61820681711508,32.616545662248114,42.19378427396954
27.61008885480275,55.8443485490897,21.19093111346948
31.473394996083556,46.46092440836695,42.992446262866736
28.00016596934095,47.15941715908654,37.24238041781889
58.16396221631704,19.050058821715893,61.21613152559691
35.06083597439108,22.51775128069597,59.87868919449525
21.89265584838272,1.0,51.5485319825802
45.099144836500855,25.691672119176523,36.91250351696354
19.72019939347089,47.554638777357894,65.49526115296057
36.59973697138682,41.91173144657843,21.120003517296936
8.790250523483518,31.706399449797146,22.549593823438485
16.230539767477257,34.21795584680779,38.78513265777456
34.411709933035965,25.69672965415483,67.92716199823997
41.020364631716305,36.62284613407988,36.74880774122932
33.92245084710035,43.540220419727284,36.64500846912344
30.33171293688998,14.149741836727282,20.891017828783344
28.304580027863608,37.5388819521464,50.791144900577336
13.699967462376595,45.60204209457845,50.905578877891855
23.924799241154574,29.042268318894557,49.39173433481146
27.448714894223194,43.43799972249252,32.32699844371594
46.8041432882503,70.66125517903528,31.85912002697347
38.38092239589782,34.28769396970411,25.167384667763308
12.805935072856158,40.969383435676335,42.86125589589449
39.48386094999442,27.943122613342876,28.335307605352718
30.73497098693271,39.89674393837515,28.006327662203166
27.388429087150676,43.38727305181452,37.5322462460543
43.71752960594459,40.5138267823277,36.77500724394753
48.785328959420816,25.422832881395387,36.20467490916862
47.555091225470605,40.90056028420061,49.02347315948994
25.444088728467758,56.070030339505614,43.96671484751734
32.10581868932191,43.31000207996473,38.71395681342712
39.63308543023247,49.74829541507033,44.60244188360382
47.15030476606648,33.98188167728445,29.164498095854576
28.6959640847869,45.50592989299531,42.595340502480816
31.639291310973057,39.23396883623643,42.762112834968555
19.779276871810442,23.206742878888697,21.904370165083805
18.150788694432507,39.210430953987895,52.87303846553209
42.89576182431662,22.22537116473677,28.49897553730604
49.271598201262336,26.270412731989047,40.512270318498196
30.91014604110204,36.22801619934711,53.7914547451565
44.782550993473976,38.06066749806203,51.06078169675196
37.509214757944974,19.831033766947282,40.165095406202184
25.327791161224464,47.74137990804032,35.40016633830494
38.28335952626905,42.3275028306073,52.04853117003259
53.477581677892005,26.448998848467305,48.94395861061652
34.14068259215058,16.88055521564808,33.835791159618445
54.51689641832994,34.87503093904168,32.16003669388151
2.7031459319712,31.964265619229664,16.856770208559706
45.947933418673266,38.81707761382724,44.69742418572576
37.34957485276658,32.92046492810242,41.893743382850786
32.95504744715302,12.661656999603325,57.0975346565896
37.60688494030582,32.76267521925716,47.79903137335464
11.495782411058599,34.351316796525396,59.601099646212475
33.35144447405901,46.07451695614883,34.75621630734659
40.37125580170232,28.93952701242311,56.674512349913904
53.43396604860406,58.24850520043177,35.722285943767346
27.750321199393174,12.8531281873653,51.8766428879851
23.942342267655377,52.30539750146319,23.394505333094394
27.163698154008884,32.57341874956309,43.80238284258792
44.46445531592496,45.546051889868835,15.357771185194109
36.877866237420804,35.102352433111136,36.105224892022235
25.8323598379042,48.32098949042854,45.05954679096406
39.06902748527547,29.142659329136148,33.21542360997867
33.67172546461221,20.420998003324097,26.162059404096546
44.528675417205896,51.72800067810404,49.53155786533121
23.996686643518398,32.73713547252265,37.490213473954064
28.546216457398817,37.0120684311031,33.240827627338746
28.570831359370857,50.202707839945916,40.55268859614908
15.562229506417292,22.69179249445206,73.83445694025998
38.11307728548883,43.05232521105579,55.81435303741375
37.797615714495024,29.001955209178462,56.32643088372287
34.85420504862275,35.270191294843094,47.54850005604449
32.80568851764468,38.0172062834998,44.504248820709186
18.47577716959541,18.736250910287684,13.39787975320008
30.74922747412414,28.109528392690656,34.804509734010345
31.705862496518783,54.402269310706444,36.71958320575807
26.396286828982415,48.838949786560164,19.47418243666918
33.74145726485027,36.61149736254534,28.212550612817626
41.04223384358624,40.52700948673264,17.73402574259304
58.61702552687281,33.87915866206481,41.80159114335062
37.09093695945637,53.28320656415307,51.91718695744325
37.449029662990746,33.55117427597262,54.97918722723522
32.995436016912315,38.15405294763356,46.20619662334717
9.344781391946087,49.42315109683307,28.188695328462916
32.51982503456919,24.622096171129257,16.256944938390646
33.358155456666324,53.689487398080104,17.659542960402213
62.83815975936443,14.817357856089203,23.597695566638638
30.108259199834215,54.186930752690145,28.20300647723353
36.141604777905364,29.183386268480415,37.44547350036359
32.19235240157451,31.43600818946257,27.142097250318166
18.238163896091436,10.990367654482462,44.35435307369486
46.99769105770255,29.5536162669908,37.40126282560611
43.1056382816732,22.64153194651849,40.757906584497704
44.93179812979136,28.58412865501364,56.22002369260825
24.154564683727124,35.05988172022476,27.406278848259394
53.195299390306545,49.00088877990133,47.97201798350093
18.61173562853354,40.30062592042663,42.50960134662683
43.7492875092703,42.28995002388366,39.06563211198346
64.08848875860023,24.61051292215234,54.565221193537994
24.228512192540656,27.746171614805327,54.77867715084747
29.944534871112264,61.25584474773012,31.296344949655847
38.119337780088195,29.051405573311897,41.156522197917155
30.360392966659518,58.22804473946837,46.47775850561206
16.903005221040882,34.578006751288115,39.5359297500447
36.50213066614202,37.09617264125281,49.541564057286834
22.09642258669631,50.4994841973968,45.2730675011361
40.76953821129699,52.26313532423319,64.25812325185144
22.783832122828674,34.34158623967197,21.837537628231317
53.03862206095213,30.364734733221574,39.10519993957102
23.88471371024601,34.755657986076606,28.922053490285712
29.893719131450187,39.26251394819578,47.40868288013111
43.45043934969524,46.225368196085,20.420608651489125
17.92045994010144,35.57745440594385,44.611501399086286
36.68078516867655,43.215249465000326,32.89996881784138
50.583337716359,56.319428658150215,32.28033234114832
14.858192404807747,41.183145285042386,23.650597934849387
37.75446456708844,41.057421006828804,36.295411176070736
39.18278823064374,18.90723185707524,56.40095443152538
46.67435781096631,5.478544765220512,43.48239349070332
